2025-11-11 16:29:13.987 [main] INFO  - Application starting...
2025-11-11 16:47:26.615 [pool-2-thread-2] INFO  - SUCCESS transaction: Transferred 4281 from 41c392ca-5ee9-418a-99a1-cfe1856afeac to 78cc8ba7-41ff-4934-a0d5-a792a6c8f98e. Balances: from=1658, to=18629
2025-11-11 16:47:27.235 [pool-2-thread-1] WARN  - Attempt to transfer money to the same account: 5ee6b0e9-a6d8-4a1d-8f9f-20dcf9e1ac4b. Transaction cancelled.
2025-11-11 16:47:27.830 [pool-2-thread-2] INFO  - SUCCESS transaction: Transferred 2780 from 5ee6b0e9-a6d8-4a1d-8f9f-20dcf9e1ac4b to 78cc8ba7-41ff-4934-a0d5-a792a6c8f98e. Balances: from=8185, to=21409
2025-11-11 16:47:28.765 [pool-2-thread-1] WARN  - Attempt to transfer money to the same account: 41c392ca-5ee9-418a-99a1-cfe1856afeac. Transaction cancelled.
2025-11-11 16:47:29.112 [pool-2-thread-2] WARN  - Attempt to transfer money to the same account: 5ee6b0e9-a6d8-4a1d-8f9f-20dcf9e1ac4b. Transaction cancelled.
2025-11-11 16:47:30.408 [pool-2-thread-2] INFO  - SUCCESS transaction: Transferred 825 from 5ee6b0e9-a6d8-4a1d-8f9f-20dcf9e1ac4b to a4b4606a-60ba-45e0-bc83-49dd91976a52. Balances: from=7360, to=9573
2025-11-11 16:47:30.599 [pool-2-thread-1] WARN  - Attempt to transfer money to the same account: 5ee6b0e9-a6d8-4a1d-8f9f-20dcf9e1ac4b. Transaction cancelled.
2025-11-11 16:47:31.653 [pool-2-thread-2] INFO  - SUCCESS transaction: Transferred 2285 from 78cc8ba7-41ff-4934-a0d5-a792a6c8f98e to 5ee6b0e9-a6d8-4a1d-8f9f-20dcf9e1ac4b. Balances: from=19124, to=9645
2025-11-11 16:47:32.224 [pool-2-thread-1] INFO  - SUCCESS transaction: Transferred 4408 from a4b4606a-60ba-45e0-bc83-49dd91976a52 to 5ee6b0e9-a6d8-4a1d-8f9f-20dcf9e1ac4b. Balances: from=5165, to=14053
2025-11-11 16:47:33.212 [pool-2-thread-2] WARN  - Attempt to transfer money to the same account: a4b4606a-60ba-45e0-bc83-49dd91976a52. Transaction cancelled.
2025-11-11 16:47:33.836 [pool-2-thread-1] INFO  - SUCCESS transaction: Transferred 894 from 5ee6b0e9-a6d8-4a1d-8f9f-20dcf9e1ac4b to 78cc8ba7-41ff-4934-a0d5-a792a6c8f98e. Balances: from=13159, to=20018
2025-11-11 16:47:34.644 [pool-2-thread-2] WARN  - Attempt to transfer money to the same account: 5ee6b0e9-a6d8-4a1d-8f9f-20dcf9e1ac4b. Transaction cancelled.
2025-11-11 16:47:35.678 [pool-2-thread-1] ERROR - FAILED transaction: Not enough money on account 41c392ca-5ee9-418a-99a1-cfe1856afeac. Required: 1909, available: 1658.
2025-11-11 16:47:36.214 [pool-2-thread-2] INFO  - SUCCESS transaction: Transferred 4461 from 78cc8ba7-41ff-4934-a0d5-a792a6c8f98e to a4b4606a-60ba-45e0-bc83-49dd91976a52. Balances: from=15557, to=9626
2025-11-11 16:47:36.723 [pool-2-thread-1] WARN  - Attempt to transfer money to the same account: a4b4606a-60ba-45e0-bc83-49dd91976a52. Transaction cancelled.
2025-11-11 16:47:37.992 [pool-2-thread-2] INFO  - SUCCESS transaction: Transferred 190 from a4b4606a-60ba-45e0-bc83-49dd91976a52 to 78cc8ba7-41ff-4934-a0d5-a792a6c8f98e. Balances: from=9436, to=15747
2025-11-11 16:47:38.502 [pool-2-thread-1] WARN  - Attempt to transfer money to the same account: 78cc8ba7-41ff-4934-a0d5-a792a6c8f98e. Transaction cancelled.
2025-11-11 16:47:38.595 [main] INFO  - Maximum number of transactions (30) reached. Shutting down...
2025-11-11 16:47:39.770 [pool-2-thread-2] INFO  - Thread pool-2-thread-2 finished its work.
2025-11-11 16:47:39.992 [pool-2-thread-1] INFO  - Thread pool-2-thread-1 finished its work.
2025-11-11 16:47:39.995 [main] INFO  - Final verification: Total money across all accounts: 40000. Initial total was: 40000
2025-11-11 16:47:39.995 [main] INFO  - Data consistency check passed.
2025-11-11 16:47:39.995 [main] INFO  - Application finished.
2025-11-11 16:50:14.217 [main] INFO  - Initialized 4 accounts with 10000 money each.
2025-11-11 16:50:14.226 [main] WARN  - Attempt to transfer money to the same account: 86c56d78-6749-46ce-ab76-5b1a4ca8de03. Transaction cancelled.
2025-11-11 16:50:14.313 [main] INFO  - Initialized 4 accounts with 10000 money each.
2025-11-11 16:50:14.314 [main] INFO  - SUCCESS transaction: Transferred 500 from 4c29e3ab-f667-4860-ad27-685852302265 to e9c325a2-a1ac-40d0-af79-bd55084f6498. Balances: from=9500, to=10500
2025-11-11 16:50:14.323 [main] INFO  - Initialized 4 accounts with 10000 money each.
2025-11-11 16:50:14.324 [main] ERROR - FAILED transaction: Not enough money on account 9138f55f-16fa-42a2-aa61-96f4e1ca75f3. Required: 10001, available: 10000.
2025-11-11 16:50:14.329 [main] INFO  - Initialized 4 accounts with 10000 money each.
2025-11-11 16:50:14.342 [pool-3-thread-2] INFO  - SUCCESS transaction: Transferred 0 from abbb6a90-c226-4423-8107-57097283db14 to 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d. Balances: from=10000, to=10000
2025-11-11 16:50:14.342 [pool-3-thread-1] WARN  - Attempt to transfer money to the same account: 91c2b048-bc20-469e-b73a-daf536adc4e3. Transaction cancelled.
2025-11-11 16:50:14.343 [pool-3-thread-2] INFO  - SUCCESS transaction: Transferred 76 from 91c2b048-bc20-469e-b73a-daf536adc4e3 to 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d. Balances: from=9924, to=10076
2025-11-11 16:50:14.343 [pool-3-thread-1] WARN  - Attempt to transfer money to the same account: 91c2b048-bc20-469e-b73a-daf536adc4e3. Transaction cancelled.
2025-11-11 16:50:14.343 [pool-3-thread-2] INFO  - SUCCESS transaction: Transferred 79 from 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d to 91c2b048-bc20-469e-b73a-daf536adc4e3. Balances: from=9997, to=10003
2025-11-11 16:50:14.343 [pool-3-thread-1] INFO  - SUCCESS transaction: Transferred 2 from 88ff51c0-9260-438e-964b-2d7d36f24c12 to abbb6a90-c226-4423-8107-57097283db14. Balances: from=9998, to=10002
2025-11-11 16:50:14.344 [pool-3-thread-3] INFO  - SUCCESS transaction: Transferred 50 from 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d to abbb6a90-c226-4423-8107-57097283db14. Balances: from=9947, to=10052
2025-11-11 16:50:14.345 [pool-3-thread-2] INFO  - SUCCESS transaction: Transferred 83 from 88ff51c0-9260-438e-964b-2d7d36f24c12 to abbb6a90-c226-4423-8107-57097283db14. Balances: from=9915, to=10135
2025-11-11 16:50:14.345 [pool-3-thread-4] INFO  - SUCCESS transaction: Transferred 80 from 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d to 91c2b048-bc20-469e-b73a-daf536adc4e3. Balances: from=9867, to=10083
2025-11-11 16:50:14.345 [pool-3-thread-2] WARN  - Attempt to transfer money to the same account: 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d. Transaction cancelled.
2025-11-11 16:50:14.345 [pool-3-thread-3] INFO  - SUCCESS transaction: Transferred 50 from 88ff51c0-9260-438e-964b-2d7d36f24c12 to 91c2b048-bc20-469e-b73a-daf536adc4e3. Balances: from=9865, to=10133
2025-11-11 16:50:14.346 [pool-3-thread-4] INFO  - SUCCESS transaction: Transferred 61 from abbb6a90-c226-4423-8107-57097283db14 to 91c2b048-bc20-469e-b73a-daf536adc4e3. Balances: from=10074, to=10194
2025-11-11 16:50:14.346 [pool-3-thread-1] INFO  - SUCCESS transaction: Transferred 45 from 88ff51c0-9260-438e-964b-2d7d36f24c12 to 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d. Balances: from=9820, to=9912
2025-11-11 16:50:14.346 [pool-3-thread-4] WARN  - Attempt to transfer money to the same account: 91c2b048-bc20-469e-b73a-daf536adc4e3. Transaction cancelled.
2025-11-11 16:50:14.346 [pool-3-thread-2] INFO  - SUCCESS transaction: Transferred 50 from abbb6a90-c226-4423-8107-57097283db14 to 91c2b048-bc20-469e-b73a-daf536adc4e3. Balances: from=10024, to=10244
2025-11-11 16:50:14.347 [pool-3-thread-2] WARN  - Attempt to transfer money to the same account: abbb6a90-c226-4423-8107-57097283db14. Transaction cancelled.
2025-11-11 16:50:14.347 [pool-3-thread-3] INFO  - SUCCESS transaction: Transferred 93 from 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d to abbb6a90-c226-4423-8107-57097283db14. Balances: from=9819, to=10117
2025-11-11 16:50:14.347 [pool-3-thread-1] INFO  - SUCCESS transaction: Transferred 74 from 88ff51c0-9260-438e-964b-2d7d36f24c12 to 91c2b048-bc20-469e-b73a-daf536adc4e3. Balances: from=9746, to=10318
2025-11-11 16:50:14.347 [pool-3-thread-1] INFO  - SUCCESS transaction: Transferred 57 from 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d to 88ff51c0-9260-438e-964b-2d7d36f24c12. Balances: from=9762, to=9803
2025-11-11 16:50:14.348 [pool-3-thread-1] INFO  - SUCCESS transaction: Transferred 13 from 91c2b048-bc20-469e-b73a-daf536adc4e3 to abbb6a90-c226-4423-8107-57097283db14. Balances: from=10305, to=10130
2025-11-11 16:50:14.348 [pool-3-thread-1] INFO  - SUCCESS transaction: Transferred 42 from 91c2b048-bc20-469e-b73a-daf536adc4e3 to abbb6a90-c226-4423-8107-57097283db14. Balances: from=10263, to=10172
2025-11-11 16:50:14.348 [pool-3-thread-1] WARN  - Attempt to transfer money to the same account: abbb6a90-c226-4423-8107-57097283db14. Transaction cancelled.
2025-11-11 16:50:14.349 [pool-3-thread-4] INFO  - SUCCESS transaction: Transferred 82 from 88ff51c0-9260-438e-964b-2d7d36f24c12 to abbb6a90-c226-4423-8107-57097283db14. Balances: from=9721, to=10254
2025-11-11 16:50:14.349 [pool-3-thread-4] INFO  - SUCCESS transaction: Transferred 43 from 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d to 88ff51c0-9260-438e-964b-2d7d36f24c12. Balances: from=9719, to=9764
2025-11-11 16:50:14.349 [pool-3-thread-4] INFO  - SUCCESS transaction: Transferred 50 from 91c2b048-bc20-469e-b73a-daf536adc4e3 to 88ff51c0-9260-438e-964b-2d7d36f24c12. Balances: from=10213, to=9814
2025-11-11 16:50:14.350 [pool-3-thread-4] INFO  - SUCCESS transaction: Transferred 14 from 91c2b048-bc20-469e-b73a-daf536adc4e3 to abbb6a90-c226-4423-8107-57097283db14. Balances: from=10199, to=10268
2025-11-11 16:50:14.350 [pool-3-thread-2] INFO  - SUCCESS transaction: Transferred 93 from abbb6a90-c226-4423-8107-57097283db14 to 88ff51c0-9260-438e-964b-2d7d36f24c12. Balances: from=10175, to=9907
2025-11-11 16:50:14.351 [pool-3-thread-2] INFO  - SUCCESS transaction: Transferred 23 from 88ff51c0-9260-438e-964b-2d7d36f24c12 to abbb6a90-c226-4423-8107-57097283db14. Balances: from=9884, to=10198
2025-11-11 16:50:14.351 [pool-3-thread-2] INFO  - SUCCESS transaction: Transferred 54 from 91c2b048-bc20-469e-b73a-daf536adc4e3 to abbb6a90-c226-4423-8107-57097283db14. Balances: from=10145, to=10252
2025-11-11 16:50:14.352 [pool-3-thread-3] INFO  - SUCCESS transaction: Transferred 53 from 88ff51c0-9260-438e-964b-2d7d36f24c12 to abbb6a90-c226-4423-8107-57097283db14. Balances: from=9831, to=10305
2025-11-11 16:50:14.352 [pool-3-thread-1] INFO  - SUCCESS transaction: Transferred 71 from abbb6a90-c226-4423-8107-57097283db14 to 88ff51c0-9260-438e-964b-2d7d36f24c12. Balances: from=10234, to=9902
2025-11-11 16:50:14.352 [pool-3-thread-1] WARN  - Attempt to transfer money to the same account: 88ff51c0-9260-438e-964b-2d7d36f24c12. Transaction cancelled.
2025-11-11 16:50:14.352 [pool-3-thread-4] INFO  - SUCCESS transaction: Transferred 28 from 88ff51c0-9260-438e-964b-2d7d36f24c12 to 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d. Balances: from=9874, to=9747
2025-11-11 16:50:14.353 [pool-3-thread-4] INFO  - SUCCESS transaction: Transferred 24 from 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d to 88ff51c0-9260-438e-964b-2d7d36f24c12. Balances: from=9723, to=9898
2025-11-11 16:50:14.353 [pool-3-thread-4] WARN  - Attempt to transfer money to the same account: abbb6a90-c226-4423-8107-57097283db14. Transaction cancelled.
2025-11-11 16:50:14.353 [pool-3-thread-2] INFO  - SUCCESS transaction: Transferred 42 from 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d to abbb6a90-c226-4423-8107-57097283db14. Balances: from=9681, to=10276
2025-11-11 16:50:14.353 [pool-3-thread-4] WARN  - Attempt to transfer money to the same account: 91c2b048-bc20-469e-b73a-daf536adc4e3. Transaction cancelled.
2025-11-11 16:50:14.354 [pool-3-thread-2] INFO  - SUCCESS transaction: Transferred 33 from 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d to 88ff51c0-9260-438e-964b-2d7d36f24c12. Balances: from=9648, to=9931
2025-11-11 16:50:14.354 [pool-3-thread-4] WARN  - Attempt to transfer money to the same account: 88ff51c0-9260-438e-964b-2d7d36f24c12. Transaction cancelled.
2025-11-11 16:50:14.354 [pool-3-thread-2] INFO  - SUCCESS transaction: Transferred 47 from 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d to 88ff51c0-9260-438e-964b-2d7d36f24c12. Balances: from=9601, to=9978
2025-11-11 16:50:14.354 [pool-3-thread-2] WARN  - Attempt to transfer money to the same account: abbb6a90-c226-4423-8107-57097283db14. Transaction cancelled.
2025-11-11 16:50:14.354 [pool-3-thread-3] INFO  - SUCCESS transaction: Transferred 45 from 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d to 91c2b048-bc20-469e-b73a-daf536adc4e3. Balances: from=9556, to=10190
2025-11-11 16:50:14.354 [pool-3-thread-2] INFO  - SUCCESS transaction: Transferred 12 from abbb6a90-c226-4423-8107-57097283db14 to 88ff51c0-9260-438e-964b-2d7d36f24c12. Balances: from=10264, to=9990
2025-11-11 16:50:14.355 [pool-3-thread-3] INFO  - SUCCESS transaction: Transferred 18 from abbb6a90-c226-4423-8107-57097283db14 to 91c2b048-bc20-469e-b73a-daf536adc4e3. Balances: from=10246, to=10208
2025-11-11 16:50:14.355 [pool-3-thread-1] INFO  - SUCCESS transaction: Transferred 36 from 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d to 91c2b048-bc20-469e-b73a-daf536adc4e3. Balances: from=9520, to=10244
2025-11-11 16:50:14.355 [pool-3-thread-1] WARN  - Attempt to transfer money to the same account: 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d. Transaction cancelled.
2025-11-11 16:50:14.355 [pool-3-thread-4] INFO  - SUCCESS transaction: Transferred 97 from 88ff51c0-9260-438e-964b-2d7d36f24c12 to 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d. Balances: from=9893, to=9617
2025-11-11 16:50:14.356 [pool-3-thread-4] WARN  - Attempt to transfer money to the same account: 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d. Transaction cancelled.
2025-11-11 16:50:14.356 [pool-3-thread-1] INFO  - SUCCESS transaction: Transferred 61 from 91c2b048-bc20-469e-b73a-daf536adc4e3 to 88ff51c0-9260-438e-964b-2d7d36f24c12. Balances: from=10183, to=9954
2025-11-11 16:50:14.356 [pool-3-thread-2] INFO  - SUCCESS transaction: Transferred 29 from 88ff51c0-9260-438e-964b-2d7d36f24c12 to 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d. Balances: from=9925, to=9646
2025-11-11 16:50:14.356 [pool-3-thread-2] INFO  - SUCCESS transaction: Transferred 13 from abbb6a90-c226-4423-8107-57097283db14 to 88ff51c0-9260-438e-964b-2d7d36f24c12. Balances: from=10233, to=9938
2025-11-11 16:50:14.356 [pool-3-thread-3] INFO  - SUCCESS transaction: Transferred 93 from 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d to 91c2b048-bc20-469e-b73a-daf536adc4e3. Balances: from=9553, to=10276
2025-11-11 16:50:14.357 [pool-3-thread-3] INFO  - SUCCESS transaction: Transferred 28 from 88ff51c0-9260-438e-964b-2d7d36f24c12 to abbb6a90-c226-4423-8107-57097283db14. Balances: from=9910, to=10261
2025-11-11 16:50:14.357 [pool-3-thread-4] INFO  - SUCCESS transaction: Transferred 58 from 91c2b048-bc20-469e-b73a-daf536adc4e3 to 1cf966a0-d758-41c5-a5fd-e8e9a8a0055d. Balances: from=10218, to=9611
